Name,Category,Preparation Time,Cooking Time,Selling Price
French Fries,Appetizers & Starters,15 minutes,10 minutes,100
Garlic Bread,Appetizers & Starters,10 minutes,10 minutes,120
Veg Cutlet,Appetizers & Starters,20 minutes,15 minutes,150
Chicken Nuggets,Appetizers & Starters,15 minutes,10 minutes,180
Egg Pakora,Appetizers & Starters,10 minutes,10 minutes,90
Paneer Tikka,Appetizers & Starters,25 minutes,20 minutes,220
Fish Fingers,Appetizers & Starters,20 minutes,15 minutes,200
Crispy Mushroom Fry,Appetizers & Starters,15 minutes,12 minutes,160
Stuffed Bell Peppers,Appetizers & Starters,30 minutes,25 minutes,190
Mozzarella Sticks,Appetizers & Starters,15 minutes,10 minutes,170
Spring Rolls,Appetizers & Starters,20 minutes,15 minutes,150
Crab Cakes,Appetizers & Starters,25 minutes,20 minutes,250
Tandoori Chicken,Appetizers & Starters,30 minutes,20 minutes,280
Grilled Pineapple Skewers,Appetizers & Starters,15 minutes,10 minutes,130
Veg Manchurian Balls,Appetizers & Starters,20 minutes,15 minutes,180
Aloo Gobi,Main Course – Veg,20 minutes,25 minutes,180
Baingan Bharta,Main Course – Veg,25 minutes,30 minutes,200
Bhindi Masala,Main Course – Veg,20 minutes,25 minutes,190
Vegetable Kurma,Main Course – Veg,25 minutes,30 minutes,210
Matar Paneer,Main Course – Veg,25 minutes,30 minutes,220
Mix Veg Curry,Main Course – Veg,20 minutes,25 minutes,180
Tinda Masala,Main Course – Veg,20 minutes,25 minutes,170
Veg Kofta Curry,Main Course – Veg,30 minutes,35 minutes,230
Kadhi Pakora,Main Course – Veg,25 minutes,30 minutes,190
Lauki Chana Dal,Main Course – Veg,25 minutes,30 minutes,180
Tawa Veg,Main Course – Veg,20 minutes,25 minutes,200
Kadai Vegetable,Main Course – Veg,25 minutes,30 minutes,210
Cabbage Thoran,Main Course – Veg,15 minutes,20 minutes,160
Jackfruit Curry,Main Course – Veg,30 minutes,35 minutes,220
Paneer Butter Masala,Main Course – Punjabi Specialties (Veg),30 minutes,35 minutes,240
Palak Paneer,Main Course – Punjabi Specialties (Veg),25 minutes,30 minutes,210
Dal Makhani,Main Course – Punjabi Specialties (Veg),30 minutes,40 minutes,230
Rajma Masala,Main Course – Punjabi Specialties (Veg),25 minutes,30 minutes,200
Chana Masala,Main Course – Punjabi Specialties (Veg),25 minutes,30 minutes,190
Kadai Paneer,Main Course – Punjabi Specialties (Veg),25 minutes,30 minutes,215
Shahi Paneer,Main Course – Punjabi Specialties (Veg),30 minutes,35 minutes,220
Malai Kofta,Main Course – Punjabi Specialties (Veg),30 minutes,35 minutes,230
Stuffed Capsicum Curry,Main Course – Punjabi Specialties (Veg),30 minutes,35 minutes,220
Punjabi Dum Aloo,Main Course – Punjabi Specialties (Veg),25 minutes,30 minutes,200
Amritsari Chole,Main Course – Punjabi Specialties (Veg),25 minutes,30 minutes,200
Bharta (Smoked Eggplant),Main Course – Punjabi Specialties (Veg),25 minutes,30 minutes,180
Punjabi Kadhi,Main Course – Punjabi Specialties (Veg),20 minutes,25 minutes,190
Butter Chicken,Main Course – Non-Veg,30 minutes,35 minutes,230
Chicken Korma,Main Course – Non-Veg,30 minutes,35 minutes,240
Chicken Tikka Masala,Main Course – Non-Veg,30 minutes,35 minutes,250
Chicken Curry,Main Course – Non-Veg,25 minutes,30 minutes,220
Chicken Do Pyaza,Main Course – Non-Veg,30 minutes,35 minutes,230
Mutton Rogan Josh,Main Course – Non-Veg,35 minutes,40 minutes,245
Keema Masala,Main Course – Non-Veg,30 minutes,35 minutes,255
Egg Curry,Main Course – Non-Veg,25 minutes,30 minutes,230
Fish Curry,Main Course – Non-Veg,25 minutes,30 minutes,240
Prawn Masala,Main Course – Non-Veg,30 minutes,35 minutes,260
Beef Fry / Curry,Main Course – Non-Veg,30 minutes,35 minutes,250
Crab Masala,Main Course – Non-Veg,30 minutes,35 minutes,160
Chicken Handi,Main Course – Non-Veg,30 minutes,35 minutes,260
Tandoori Chicken Gravy,Main Course – Non-Veg,30 minutes,35 minutes,180
Andhra Chicken Curry,Main Course – Non-Veg,25 minutes,30 minutes,150
Egg Masala,Main Course – Non-Veg,25 minutes,30 minutes,220
Vegetable Biryani,Rice & Biryani,30 minutes,35 minutes,180
Chicken Biryani,Rice & Biryani,35 minutes,40 minutes,250
Egg Biryani,Rice & Biryani,30 minutes,35 minutes,220
Prawn Biryani,Rice & Biryani,35 minutes,40 minutes,240
Paneer Pulao,Rice & Biryani,25 minutes,30 minutes,210
Jeera Rice,Rice & Biryani,15 minutes,20 minutes,110
Ghee Rice,Rice & Biryani,15 minutes,20 minutes,130
Curd Rice,Rice & Biryani,15 minutes,20 minutes,120
Tamarind Rice,Rice & Biryani,20 minutes,25 minutes,110
Vegetable Fried Rice,Rice & Biryani,20 minutes,25 minutes,160
Chicken Fried Rice,Rice & Biryani,25 minutes,30 minutes,200
Lemon Rice,Rice & Biryani,20 minutes,25 minutes,120
Coconut Rice,Rice & Biryani,20 minutes,25 minutes,120
Peas Pulao,Rice & Biryani,20 minutes,25 minutes,150
Mushroom Rice,Rice & Biryani,20 minutes,25 minutes,125
Kashmiri Pulao,Rice & Biryani,25 minutes,30 minutes,180
White Sauce Pasta,Continental / Western,20 minutes,25 minutes,200
Red Sauce Pasta,Continental / Western,20 minutes,25 minutes,200
Mac and Cheese,Continental / Western,20 minutes,25 minutes,180
Grilled Cheese Sandwich,Continental / Western,10 minutes,10 minutes,150
Club Sandwich,Continental / Western,15 minutes,10 minutes,180
Chicken Wrap,Continental / Western,15 minutes,10 minutes,200
Veggie Burger,Continental / Western,20 minutes,15 minutes,190
Chicken Burger,Continental / Western,20 minutes,15 minutes,220
Pizza (Veg),Continental / Western,20 minutes,15 minutes,200
Pizza (Chicken / Sausage),Continental / Western,25 minutes,20 minutes,240
Pancakes,Continental / Western,15 minutes,10 minutes,120
Omelette,Continental / Western,10 minutes,10 minutes,90
Scrambled Eggs,Continental / Western,10 minutes,10 minutes,100
Stuffed Croissants,Continental / Western,20 minutes,15 minutes,160
Quesadilla (Veg / Chicken),Continental / Western,20 minutes,15 minutes,200
Hot Dog,Continental / Western,10 minutes,10 minutes,140
Sausage Platter,Continental / Western,25 minutes,20 minutes,240
Naan / Roti / Paratha,Breads & Sides,10 minutes,10 minutes,20
Garlic Naan,Breads & Sides,10 minutes,10 minutes,40
Tandoori Roti,Breads & Sides,10 minutes,10 minutes,30
Stuffed Paratha (Aloo/ Paneer),Breads & Sides,15 minutes,15 minutes,45
Dinner Rolls / Bread Basket,Breads & Sides,5 minutes,0 minutes,50
Papad,Breads & Sides,5 minutes,0 minutes,20
Pickle & Salad,Breads & Sides,5 minutes,0 minutes,30
Chocolate Cake,Desserts,15 minutes,0 minutes,90
Muffins / Cupcakes,Desserts,15 minutes,0 minutes,80
Ice Cream,Desserts,5 minutes,0 minutes,80
Custard,Desserts,10 minutes,0 minutes,70
Fruit Salad ,Desserts,10 minutes,0 minutes,75
Tea,Drinks / Beverages,5 minutes,0 minutes,30
Coffee,Drinks / Beverages,5 minutes,0 minutes,40
Green Tea,Drinks / Beverages,5 minutes,0 minutes,50
Herbal Tea,Drinks / Beverages,5 minutes,0 minutes,50
"Fresh Juice (Orange,Pineapple ,Watermelon,Mango)",Drinks / Beverages,5 minutes,0 minutes,60
"Milkshakes (Banana, Chocolate,  Mango)",Drinks / Beverages,5 minutes,0 minutes,90
Lassi,Drinks / Beverages,5 minutes,0 minutes,85
Buttermilk,Drinks / Beverages,5 minutes,0 minutes,30
Smoothies,Drinks / Beverages,5 minutes,0 minutes,90
Soda,Drinks / Beverages,5 minutes,0 minutes,50
Tonic Water,Drinks / Beverages,5 minutes,0 minutes,60
Sparkling Water,Drinks / Beverages,5 minutes,0 minutes,70
Mojito,Drinks / Beverages,5 minutes,0 minutes,90
Mocktails,Drinks / Beverages,5 minutes,0 minutes,100
Wine,Drinks / Beverages,5 minutes,0 minutes,200
Beer,Drinks / Beverages,5 minutes,0 minutes,150
